"schema_name","table_name","columns"
dbo,Pom_Programs_Outcome_Metadata_tb,2
dbo,Ppn_Person_Phone_Number_tb,2
dbo,Pra_Person_Access_tb,2
dbo,Tcg_Ticket_Class_Group_tb,2
dbo,Tct_Teacher_Courses_Taxonomy_tb,2
dbo,TEMP_KNL_MOODLE_USERS_TB,2
dbo,Toc_Terms_of_Reference_Subcategory_tb,2
dbo,Ufa_Unplanned_Flow_Action_tb,2
dbo,Uta_Unplanned_Target_Audience_tb,2
dbo,Yea_Year_tb,1
dbo,user_temp,1
dbo,Prd_Product_tb,1
dbo,Bia_Budget_Item_Administrative,1
dbo,DTT_DEPARTMENT_TEMPORARY_TB,1
